composer,year_born,year_died,title,folder,xml_score,midi_score,performer,midi_performance,performance_annotations,midi_score_annotations,maestro_midi_performance,maestro_audio_performance,start,end,audio_performance,csv_score,csv_performance
Bach,1685,1750,Fugue_bwv_846,Bach/Fugue/bwv_846,Bach/Fugue/bwv_846/xml_score.musicxml,Bach/Fugue/bwv_846/midi_score.mid,Shi,Bach/Fugue/bwv_846/Shi05M.mid,Bach/Fugue/bwv_846/Shi05M_annotations.txt,Bach/Fugue/bwv_846/midi_score_annotations.txt,{maestro}/2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_01_Track01_wav.midi,{maestro}/2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_01_Track01_wav.wav,144.56770833333331,,Bach/Fugue/bwv_846/Shi05M.wav,Bach/Fugue/bwv_846/midi_score.csv,Bach/Fugue/bwv_846/Shi05M.csv
Bach,1685,1750,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Denisova,Bach/Fugue/bwv_848/Denisova06M.mid,Bach/Fugue/bwv_848/Denisova06M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.midi,{maestro}/2008/MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.wav,69.31770833333333,,Bach/Fugue/bwv_848/Denisova06M.wav,Bach/Fugue/bwv_848/midi_score.csv,Bach/Fugue/bwv_848/Denisova06M.csv
Bach,1685,1750,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Lee,Bach/Fugue/bwv_848/Lee01M.mid,Bach/Fugue/bwv_848/Lee01M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_08_R1_2011_MID--AUDIO_R1-D3_07_Track07_wav.midi,{maestro}/2011/MIDI-Unprocessed_08_R1_2011_MID--AUDIO_R1-D3_07_Track07_wav.wav,74.79557291666666,,Bach/Fugue/bwv_848/Lee01M.wav,Bach/Fugue/bwv_848/midi_score.csv,Bach/Fugue/bwv_848/Lee01M.csv
Bach,1685,1750,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,LeeSH,Bach/Fugue/bwv_848/LeeSH01M.mid,Bach/Fugue/bwv_848/LeeSH01M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2017/MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.midi,{maestro}/2017/MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.wav,83.64479166666666,,Bach/Fugue/bwv_848/LeeSH01M.wav,Bach/Fugue/bwv_848/midi_score.csv,Bach/Fugue/bwv_848/LeeSH01M.csv
Bach,1685,1750,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Lin,Bach/Fugue/bwv_848/Lin04M.mid,Bach/Fugue/bwv_848/Lin04M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2008/MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--1.midi,{maestro}/2008/MIDI-Unprocessed_10_R1_2008_01-04_ORIG_MID--AUDIO_10_R1_2008_wav--1.wav,75.37369791666666,,Bach/Fugue/bwv_848/Lin04M.wav,Bach/Fugue/bwv_848/midi_score.csv,Bach/Fugue/bwv_848/Lin04M.csv
Bach,1685,1750,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Lou,Bach/Fugue/bwv_848/Lou01M.mid,Bach/Fugue/bwv_848/Lou01M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.midi,{maestro}/2011/MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.wav,75.55729166666666,,Bach/Fugue/bwv_848/Lou01M.wav,Bach/Fugue/bwv_848/midi_score.csv,Bach/Fugue/bwv_848/Lou01M.csv
Bach,1685,1750,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,MiyashitaM,Bach/Fugue/bwv_848/MiyashitaM01M.mid,Bach/Fugue/bwv_848/MiyashitaM01M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_09_R1_2015_wav--1.midi,{maestro}/2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_09_R1_2015_wav--1.wav,79.61354166666666,,Bach/Fugue/bwv_848/MiyashitaM01M.wav,Bach/Fugue/bwv_848/midi_score.csv,Bach/Fugue/bwv_848/MiyashitaM01M.csv
Bach,1685,1750,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Mizumoto,Bach/Fugue/bwv_848/Mizumoto03M.mid,Bach/Fugue/bwv_848/Mizumoto03M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_12_R1_2011_MID--AUDIO_R1-D4_15_Track15_wav.midi,{maestro}/2011/MIDI-Unprocessed_12_R1_2011_MID--AUDIO_R1-D4_15_Track15_wav.wav,72.90625,,Bach/Fugue/bwv_848/Mizumoto03M.wav,Bach/Fugue/bwv_848/midi_score.csv,Bach/Fugue/bwv_848/Mizumoto03M.csv
Bach,1685,1750,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,SunY,Bach/Fugue/bwv_848/SunY01M.mid,Bach/Fugue/bwv_848/SunY01M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2017/MIDI-Unprocessed_059_PIANO059_MID--AUDIO-split_07-07-17_Piano-e_2-03_wav--1.midi,{maestro}/2017/MIDI-Unprocessed_059_PIANO059_MID--AUDIO-split_07-07-17_Piano-e_2-03_wav--1.wav,70.603125,,Bach/Fugue/bwv_848/SunY01M.wav,Bach/Fugue/bwv_848/midi_score.csv,Bach/Fugue/bwv_848/SunY01M.csv
Bach,1685,1750,Fugue_bwv_848,Bach/Fugue/bwv_848,Bach/Fugue/bwv_848/xml_score.musicxml,Bach/Fugue/bwv_848/midi_score.mid,Zhou,Bach/Fugue/bwv_848/Zhou01M.mid,Bach/Fugue/bwv_848/Zhou01M_annotations.txt,Bach/Fugue/bwv_848/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_04_R1_2011_MID--AUDIO_R1-D2_02_Track02_wav.midi,{maestro}/2011/MIDI-Unprocessed_04_R1_2011_MID--AUDIO_R1-D2_02_Track02_wav.wav,68.796875,,Bach/Fugue/bwv_848/Zhou01M.wav,Bach/Fugue/bwv_848/midi_score.csv,Bach/Fugue/bwv_848/Zhou01M.csv
Bach,1685,1750,Fugue_bwv_854,Bach/Fugue/bwv_854,Bach/Fugue/bwv_854/xml_score.musicxml,Bach/Fugue/bwv_854/midi_score.mid,LuA,Bach/Fugue/bwv_854/LuA01M.mid,Bach/Fugue/bwv_854/LuA01M_annotations.txt,Bach/Fugue/bwv_854/midi_score_annotations.txt,{maestro}/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_04_R1_2015_wav--1.midi,{maestro}/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_04_R1_2015_wav--1.wav,91.77916666666668,,Bach/Fugue/bwv_854/LuA01M.wav,Bach/Fugue/bwv_854/midi_score.csv,Bach/Fugue/bwv_854/LuA01M.csv
Bach,1685,1750,Fugue_bwv_854,Bach/Fugue/bwv_854,Bach/Fugue/bwv_854/xml_score.musicxml,Bach/Fugue/bwv_854/midi_score.mid,MiyashitaM,Bach/Fugue/bwv_854/MiyashitaM01M.mid,Bach/Fugue/bwv_854/MiyashitaM01M_annotations.txt,Bach/Fugue/bwv_854/midi_score_annotations.txt,{maestro}/2017/MIDI-Unprocessed_051_PIANO051_MID--AUDIO-split_07-06-17_Piano-e_3-02_wav--1.midi,{maestro}/2017/MIDI-Unprocessed_051_PIANO051_MID--AUDIO-split_07-06-17_Piano-e_3-02_wav--1.wav,82.771875,,Bach/Fugue/bwv_854/MiyashitaM01M.wav,Bach/Fugue/bwv_854/midi_score.csv,Bach/Fugue/bwv_854/MiyashitaM01M.csv
Bach,1685,1750,Fugue_bwv_854,Bach/Fugue/bwv_854,Bach/Fugue/bwv_854/xml_score.musicxml,Bach/Fugue/bwv_854/midi_score.mid,Ozaki,Bach/Fugue/bwv_854/Ozaki01M.mid,Bach/Fugue/bwv_854/Ozaki01M_annotations.txt,Bach/Fugue/bwv_854/midi_score_annotations.txt,{maestro}/2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_15_Track15_wav.midi,{maestro}/2011/MIDI-Unprocessed_03_R1_2011_MID--AUDIO_R1-D1_15_Track15_wav.wav,85.93880208333331,,Bach/Fugue/bwv_854/Ozaki01M.wav,Bach/Fugue/bwv_854/midi_score.csv,Bach/Fugue/bwv_854/Ozaki01M.csv
Bach,1685,1750,Fugue_bwv_854,Bach/Fugue/bwv_854,Bach/Fugue/bwv_854/xml_score.musicxml,Bach/Fugue/bwv_854/midi_score.mid,Richardson,Bach/Fugue/bwv_854/Richardson01M.mid,Bach/Fugue/bwv_854/Richardson01M_annotations.txt,Bach/Fugue/bwv_854/midi_score_annotations.txt,{maestro}/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_08_R1_2013_wav--1.midi,{maestro}/2013/ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_08_R1_2013_wav--1.wav,94.62239583333331,,Bach/Fugue/bwv_854/Richardson01M.wav,Bach/Fugue/bwv_854/midi_score.csv,Bach/Fugue/bwv_854/Richardson01M.csv
Bach,1685,1750,Fugue_bwv_854,Bach/Fugue/bwv_854,Bach/Fugue/bwv_854/xml_score.musicxml,Bach/Fugue/bwv_854/midi_score.mid,WangA,Bach/Fugue/bwv_854/WangA01M.mid,Bach/Fugue/bwv_854/WangA01M_annotations.txt,Bach/Fugue/bwv_854/midi_score_annotations.txt,{maestro}/2017/MIDI-Unprocessed_041_PIANO041_MID--AUDIO-split_07-06-17_Piano-e_1-01_wav--1.midi,{maestro}/2017/MIDI-Unprocessed_041_PIANO041_MID--AUDIO-split_07-06-17_Piano-e_1-01_wav--1.wav,86.775,,Bach/Fugue/bwv_854/WangA01M.wav,Bach/Fugue/bwv_854/midi_score.csv,Bach/Fugue/bwv_854/WangA01M.csv
